StateFIPS,State,WIC participants FY 2009,WIC participants FY 2011,"WIC participants, FY 2012","WIC participants, FY 2013","WIC participants, FY 2014","WIC participants, FY 2015",National School Lunch Program participants FY 2009,National School Lunch Program participants FY 2011,"National School Lunch Program participants, FY 2012","National School Lunch Program participants, FY 2013","National School Lunch Program participants, FY 2014","National School Lunch Program participants, FY 2015",School Breakfast Program participants FY 2009,School Breakfast Program participants FY 2011,"School Breakfast Program participants, FY 2012","School Breakfast Program participants, FY 2013","School Breakfast Program participants, FY 2014","School Breakfast Program participants, FY 2015",Child and Adult Care particpants FY 2009,Child and Adult Care particpants FY 2011,"Child and Adult Care participants, FY 2012","Child and Adult Care participants, FY 2013","Child and Adult Care participants, FY 2014","Child and Adult Care participants, FY 2015",Summer Food particpants FY 2009,Summer Food participants FY 2011,"Summer Food participants, FY 2012","Summer Food participants, FY 2013","Summer Food participants, FY 2014","Summer Food participants, FY 2015","State Population, 2009","State Population, 2010","State Population,  2011","State Population, 2012","State Population,  2013","State Population,  2014","State Population,  2015","State Population,  2016"
29,Missouri,"150,145","145,767","145,900","140,821","138,657","134,780","645,262","646,161","638,943","610,370","604,484","603,698","235,682","242,192","257,271","263,352","271,369","280,757","62,896","67,779","68,461","67,817","65,767","66,865","34,698","33,520","27,147","27,008","39,540","40,411","5,987,580","5,995,715","6,010,688","6,024,522","6,044,171","6,063,589","6,083,672","6,093,000"
30,Montana,"20,673","20,164","20,457","19,848","19,227","18,476","86,652","87,622","86,705","84,069","83,248","81,872","25,594","27,569","28,134","28,155","28,944","31,311","13,741","15,056","13,511","13,373","13,246","13,788","6,711","7,034","6,663","7,615","9,232","9,037","974,989","990,958","998,199","1,005,494","1,015,165","1,023,579","1,032,949","1,042,520"
31,Nebraska,"45,585","43,563","42,727","40,151","39,211","37,601","243,466","250,190","251,186","243,120","242,273","241,037","58,000","63,594","66,641","66,556","68,913","70,327","41,074","43,892","44,633","45,305","45,392","44,737","8,333","10,565","9,836","9,879","9,635","12,177","1,796,619","1,830,141","1,842,641","1,855,350","1,868,516","1,881,503","1,896,190","1,907,116"
32,Nevada,"67,829","75,676","76,108","75,011","74,262","73,144","183,808","212,555","218,552","215,821","212,395","216,351","55,873","63,732","87,213","92,738","90,758","93,917","10,253","12,302","13,842","14,492","13,544","16,423","5,630","7,094","6,865","9,716","12,322","11,966","2,643,085","2,704,283","2,723,322","2,754,354","2,790,136","2,839,099","2,890,845","2,940,058"
33,New Hampshire,"18,362","17,048","16,299","15,679","14,736","14,705","110,811","107,790","104,546","97,396","91,812","88,737","22,006","24,511","24,251","22,497","22,112","20,577","7,092","9,148","7,979","8,689","9,272","9,104","4,418","5,321","4,948","14,659","16,434","15,304","1,324,575","1,316,807","1,318,194","1,321,617","1,323,459","1,326,813","1,330,608","1,334,795"
34,New Jersey,"169,078","168,467","172,333","167,873","163,049","161,664","705,558","727,544","729,252","694,175","688,977","695,655","172,440","189,692","218,062","242,578","273,403","302,617","73,884","74,034","75,913","79,690","79,312","83,352","50,078","51,279","52,652","59,505","53,096","48,516","8,707,739","8,799,593","8,821,155","8,867,749","8,899,339","8,938,175","8,958,013","8,944,469"
35,New Mexico,"70,159","64,304","63,844","61,352","58,313","55,234","221,822","230,861","227,863","220,187","215,567","216,778","129,912","138,835","150,554","148,155","149,229","149,737","40,352","37,587","36,630","36,382","34,556","35,608","43,343","35,014","38,463","22,386","29,302","29,383","2,009,671","2,065,913","2,082,224","2,083,540","2,085,287","2,085,572","2,085,109","2,081,015"
36,New York,"518,961","512,603","524,148","513,299","485,825","471,869","1,812,488","1,823,476","1,796,235","1,723,748","1,697,757","1,698,511","573,011","614,752","644,136","641,178","660,112","673,332","281,586","294,207","297,400","295,653","311,604","325,427","436,620","378,655","369,027","393,066","460,352","438,929","19,541,453","19,395,206","19,465,197","19,576,125","19,651,127","19,746,227","19,795,791","19,745,289"
37,North Carolina,"275,039","266,478","269,335","264,755","255,672","248,860","961,612","948,653","942,745","906,460","889,937","903,946","367,089","382,095","405,295","419,976","432,595","455,912","127,404","120,113","116,996","115,084","119,814","124,404","53,067","74,559","92,476","98,255","109,853","63,123","9,380,884","9,560,234","9,656,401","9,748,364","9,848,060","9,943,964","10,042,802","10,146,788"
38,North Dakota,"14,573","14,068","13,661","13,273","12,814","12,415","80,924","83,484","85,078","87,065","89,194","90,355","20,233","21,954","23,292","23,805","23,947","24,948","16,511","16,612","16,240","16,818","16,921","17,744","2,122","2,659","2,184","2,454","2,497","3,997","646,844","674,629","683,932","701,345","723,393","739,482","756,927","757,952"
